,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,NOX_GT,PT08_S3_NOX,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,HOUR,MONTH
236,5.2,1443.0,24.6,1418.0,253.0,666.0,141.0,2060.0,1454.0,13.4,47.8,0.7293,19,3
237,4.6,1389.0,21.6,1341.0,231.0,692.0,133.0,1982.0,1488.0,12.6,52.5,0.7642,20,3
238,2.5,1183.0,10.3,989.0,150.0,904.0,119.0,1539.0,1205.0,12.2,53.2,0.7555,21,3
239,1.5,1014.0,5.7,798.0,99.0,1083.0,106.0,1376.0,909.0,10.6,56.1,0.714,22,3
240,1.2,979.0,4.5,736.0,75.0,1154.0,92.0,1324.0,769.0,9.9,59.5,0.7276,23,3
241,1.7,1048.0,5.5,787.0,93.0,1098.0,97.0,1373.0,835.0,9.6,61.1,0.7323,0,3
242,1.4,1024.0,4.8,753.0,79.0,1131.0,91.0,1357.0,793.0,9.7,61.6,0.7425,1,3
243,1.2,974.0,3.6,690.0,67.0,1208.0,83.0,1313.0,733.0,9.4,62.6,0.7398,2,3
244,0.7,925.0,2.2,602.0,45.0,1398.0,59.0,1263.0,562.0,8.0,69.4,0.7459,4,3
245,0.8,952.0,3.0,654.0,72.0,1210.0,73.0,1312.0,832.0,7.7,72.4,0.7655,5,3
246,0.9,1005.0,4.0,713.0,103.0,1130.0,78.0,1363.0,924.0,8.0,71.8,0.7711,6,3
247,1.6,1122.0,6.7,842.0,132.0,1015.0,90.0,1438.0,974.0,8.5,66.3,0.7375,7,3
248,3.4,1351.0,16.7,1201.0,239.0,783.0,110.0,1828.0,1307.0,9.8,59.6,0.7214,8,3
249,3.8,1408.0,19.3,1278.0,275.0,682.0,114.0,1928.0,1481.0,11.2,57.0,0.7544,9,3
250,3.1,1304.0,14.8,1142.0,232.0,772.0,119.0,1747.0,1405.0,14.8,44.1,0.7407,10,3
251,2.7,1207.0,13.4,1098.0,180.0,826.0,121.0,1664.0,1195.0,16.8,35.3,0.6729,11,3
252,2.0,1099.0,11.0,1014.0,112.0,948.0,97.0,1503.0,868.0,19.2,27.1,0.5976,12,3
253,2.3,1106.0,12.5,1068.0,116.0,915.0,99.0,1535.0,874.0,19.1,26.2,0.5741,13,3
254,1.9,1009.0,8.4,916.0,103.0,1015.0,85.0,1391.0,738.0,16.3,30.8,0.5683,14,3
255,1.3,962.0,5.3,776.0,89.0,1152.0,75.0,1279.0,550.0,14.2,36.8,0.5922,15,3
256,1.9,1093.0,8.8,933.0,112.0,976.0,87.0,1454.0,777.0,13.4,41.0,0.6292,16,3
257,2.3,1180.0,11.2,1023.0,127.0,886.0,102.0,1588.0,966.0,14.2,43.3,0.6982,17,3
258,2.4,1168.0,11.6,1037.0,125.0,868.0,105.0,1580.0,990.0,12.1,45.6,0.6403,18,3
259,2.7,1168.0,12.4,1063.0,120.0,876.0,98.0,1540.0,944.0,10.4,48.0,0.6046,19,3
260,2.6,1140.0,10.6,1000.0,120.0,916.0,93.0,1490.0,962.0,10.0,51.1,0.628,20,3
261,1.5,1001.0,6.0,811.0,99.0,1097.0,91.0,1308.0,778.0,9.8,50.8,0.6172,21,3
262,1.2,953.0,4.6,743.0,79.0,1185.0,85.0,1252.0,690.0,9.7,50.4,0.6063,22,3
263,1.1,972.0,4.1,715.0,66.0,1237.0,74.0,1258.0,644.0,9.9,50.2,0.6103,23,3
264,1.5,1021.0,5.2,776.0,94.0,1144.0,87.0,1307.0,753.0,9.4,53.4,0.63,0,3
265,1.0,940.0,3.2,664.0,70.0,1290.0,79.0,1232.0,646.0,8.6,57.8,0.6488,1,3
266,1.2,1046.0,4.5,736.0,75.0,1142.0,78.0,1312.0,838.0,8.1,62.1,0.6746,2,3
267,0.8,915.0,1.9,578.0,32.0,1417.0,48.0,1212.0,665.0,8.2,58.9,0.6444,5,3
268,0.9,935.0,2.4,615.0,54.0,1373.0,59.0,1250.0,717.0,6.3,66.6,0.641,6,3
269,1.1,976.0,3.3,669.0,68.0,1270.0,65.0,1266.0,795.0,7.2,62.9,0.6396,7,3
270,1.5,1124.0,6.7,842.0,98.0,1050.0,71.0,1418.0,936.0,7.2,63.9,0.65,8,3
271,1.8,1163.0,8.5,919.0,128.0,922.0,84.0,1530.0,1076.0,11.1,50.5,0.6654,9,3
272,2.1,1167.0,9.7,966.0,129.0,942.0,93.0,1520.0,1016.0,15.5,36.1,0.6313,10,3
273,2.1,1121.0,9.4,955.0,130.0,992.0,99.0,1451.0,834.0,17.8,29.2,0.592,11,3
274,1.9,1071.0,9.0,940.0,111.0,994.0,93.0,1449.0,756.0,17.6,30.1,0.6013,12,3
275,2.1,1065.0,10.0,979.0,106.0,950.0,96.0,1467.0,766.0,19.1,26.8,0.5861,13,3
276,2.5,1157.0,12.6,1072.0,137.0,888.0,114.0,1596.0,905.0,17.7,28.6,0.5735,14,3
277,1.9,1046.0,7.6,883.0,113.0,1051.0,101.0,1357.0,765.0,17.8,28.4,0.5737,15,3
278,2.2,1147.0,11.8,1042.0,122.0,934.0,108.0,1538.0,830.0,18.7,26.0,0.5555,16,3
279,2.3,1119.0,11.2,1022.0,137.0,916.0,117.0,1508.0,853.0,17.1,31.3,0.6038,17,3
280,2.7,1210.0,12.4,1062.0,165.0,886.0,125.0,1586.0,981.0,15.8,36.1,0.644,18,3
281,3.0,1306.0,12.9,1079.0,196.0,827.0,133.0,1621.0,1286.0,14.7,40.1,0.6657,19,3
282,2.8,1258.0,12.2,1057.0,174.0,841.0,119.0,1633.0,1244.0,13.6,44.9,0.6991,20,3
283,2.2,1148.0,8.8,930.0,140.0,948.0,107.0,1475.0,1056.0,12.5,48.1,0.6946,21,3
284,1.6,1108.0,6.8,848.0,102.0,1023.0,96.0,1421.0,1003.0,11.8,50.8,0.7042,22,3
285,2.1,1231.0,8.6,924.0,130.0,906.0,105.0,1483.0,1245.0,10.9,56.1,0.7326,23,3
286,2.3,1293.0,8.9,937.0,121.0,930.0,102.0,1464.0,1200.0,10.9,55.9,0.7277,0,3
287,2.3,1274.0,8.3,912.0,111.0,939.0,97.0,1451.0,1188.0,10.3,58.1,0.7278,1,3
288,1.7,1135.0,6.3,827.0,87.0,1013.0,79.0,1395.0,1070.0,9.3,62.2,0.7294,2,3
289,1.3,1010.0,5.1,769.0,77.0,1110.0,69.0,1396.0,895.0,8.3,64.9,0.7124,4,3
290,0.8,870.0,2.6,626.0,39.0,1325.0,52.0,1284.0,755.0,9.6,58.5,0.7,5,3
291,1.1,983.0,3.6,688.0,77.0,1251.0,62.0,1342.0,806.0,7.7,66.4,0.699,6,3
292,1.4,995.0,3.6,691.0,91.0,1219.0,69.0,1321.0,836.0,7.4,68.0,0.7043,7,3
293,1.3,1024.0,4.7,747.0,105.0,1136.0,75.0,1382.0,897.0,9.7,58.6,0.7035,8,3
294,1.9,1163.0,7.5,880.0,133.0,959.0,83.0,1486.0,1073.0,12.5,50.1,0.7242,9,3
295,2.3,1218.0,9.0,938.0,128.0,918.0,94.0,1501.0,1088.0,16.8,36.9,0.7018,10,3
296,2.3,1210.0,9.5,958.0,126.0,933.0,96.0,1514.0,1036.0,19.2,31.3,0.6887,11,3
297,1.8,1114.0,7.7,887.0,92.0,1020.0,86.0,1438.0,768.0,21.3,26.4,0.6607,12,3
298,1.4,995.0,5.7,796.0,66.0,1159.0,72.0,1287.0,587.0,21.2,23.1,0.5768,13,3
299,1.0,927.0,3.8,700.0,50.0,1285.0,53.0,1189.0,452.0,18.6,25.0,0.5319,14,3
300,1.4,1002.0,4.8,754.0,70.0,1189.0,65.0,1260.0,470.0,18.0,27.3,0.5594,15,3
301,1.3,987.0,4.3,727.0,73.0,1213.0,70.0,1244.0,502.0,18.2,28.3,0.5848,16,3
302,1.3,993.0,4.1,714.0,77.0,1217.0,75.0,1238.0,516.0,17.0,31.4,0.6048,17,3
303,1.4,1012.0,4.7,746.0,86.0,1174.0,86.0,1301.0,555.0,15.6,35.0,0.617,18,3
304,1.9,1114.0,6.2,823.0,93.0,1068.0,94.0,1357.0,671.0,14.1,40.2,0.6438,19,3
305,1.8,1093.0,5.5,789.0,105.0,1102.0,103.0,1329.0,788.0,13.4,43.2,0.6623,20,3
306,1.1,968.0,3.3,669.0,67.0,1261.0,81.0,1246.0,538.0,12.3,46.8,0.6686,21,3
307,1.1,960.0,3.2,666.0,63.0,1266.0,80.0,1224.0,544.0,11.9,46.5,0.6449,22,3
308,1.1,942.0,2.9,648.0,63.0,1300.0,77.0,1204.0,500.0,11.5,46.6,0.6319,23,3
309,0.9,888.0,2.2,598.0,46.0,1396.0,58.0,1156.0,417.0,10.6,48.0,0.6135,0,3
310,0.6,818.0,1.3,524.0,21.0,1588.0,31.0,1071.0,341.0,10.7,45.8,0.5895,1,3
311,0.5,840.0,1.1,509.0,22.0,1643.0,38.0,1076.0,352.0,10.4,46.6,0.5901,2,3
312,0.6,864.0,1.2,516.0,39.0,1496.0,59.0,1153.0,502.0,11.3,46.9,0.628,4,3
313,0.7,898.0,1.7,559.0,55.0,1441.0,70.0,1180.0,648.0,10.1,51.2,0.6341,5,3
314,0.9,946.0,2.9,643.0,76.0,1309.0,75.0,1232.0,760.0,9.9,50.7,0.6167,6,3
315,2.9,1309.0,14.3,1125.0,181.0,844.0,103.0,1687.0,1183.0,8.1,56.8,0.615,7,3
316,4.1,1326.0,19.7,1289.0,259.0,714.0,134.0,1806.0,1431.0,10.9,44.1,0.5748,8,3
317,1.5,966.0,5.5,786.0,118.0,1111.0,98.0,1258.0,705.0,11.8,37.6,0.5184,9,3
318,1.5,975.0,5.6,793.0,119.0,1133.0,97.0,1254.0,637.0,13.9,33.2,0.5222,10,3
319,1.5,988.0,5.8,803.0,123.0,1105.0,98.0,1293.0,658.0,15.6,30.1,0.5285,11,3
320,1.4,971.0,5.5,786.0,92.0,1129.0,78.0,1272.0,546.0,16.5,29.0,0.5406,12,3
321,1.6,1010.0,6.5,833.0,91.0,1070.0,83.0,1332.0,561.0,17.5,27.9,0.5517,13,3
322,1.5,984.0,5.5,790.0,103.0,1131.0,92.0,1268.0,532.0,17.9,26.8,0.5446,14,3
323,1.4,962.0,5.2,776.0,102.0,1131.0,81.0,1247.0,535.0,18.2,26.1,0.5387,15,3
324,1.5,1012.0,5.8,801.0,94.0,1098.0,90.0,1289.0,525.0,18.0,27.1,0.5522,16,3
325,1.9,1058.0,7.9,896.0,98.0,996.0,95.0,1358.0,603.0,17.0,28.9,0.5558,17,3
326,2.5,1173.0,10.2,985.0,126.0,905.0,114.0,1477.0,802.0,16.1,31.3,0.568,18,3
327,2.1,1127.0,8.2,907.0,108.0,957.0,106.0,1404.0,796.0,14.5,35.4,0.5839,19,3
328,1.6,1020.0,5.7,797.0,95.0,1066.0,99.0,1302.0,689.0,13.2,37.9,0.5733,20,3
329,1.2,949.0,3.8,700.0,78.0,1221.0,90.0,1178.0,553.0,13.1,34.4,0.517,21,3
330,1.1,930.0,4.0,710.0,61.0,1278.0,82.0,1137.0,509.0,13.5,28.5,0.4405,22,3
331,1.0,900.0,2.8,643.0,55.0,1339.0,74.0,1089.0,455.0,12.4,31.9,0.4583,23,3
332,1.0,899.0,2.6,630.0,57.0,1418.0,76.0,1050.0,425.0,13.1,26.8,0.4023,0,3
333,0.7,866.0,1.8,569.0,41.0,1468.0,66.0,1055.0,436.0,11.6,33.6,0.4595,1,3
334,0.7,900.0,1.7,563.0,46.0,1402.0,73.0,1130.0,618.0,10.5,42.9,0.5442,2,3
335,0.7,956.0,2.3,605.0,52.0,1341.0,71.0,1117.0,691.0,12.9,33.9,0.5037,5,3
336,1.1,1054.0,5.3,779.0,111.0,1080.0,98.0,1266.0,1013.0,11.3,40.3,0.5376,6,3
337,2.6,1343.0,13.4,1096.0,191.0,839.0,115.0,1587.0,1311.0,11.9,38.4,0.5341,7,3
338,4.0,1584.0,23.8,1399.0,244.0,642.0,130.0,1947.0,1675.0,13.3,35.6,0.5416,8,3
339,4.2,1556.0,21.5,1337.0,283.0,674.0,150.0,1852.0,1689.0,16.3,28.8,0.5305,9,3
340,4.7,1565.0,21.0,1324.0,320.0,695.0,159.0,1872.0,1688.0,17.9,28.2,0.5741,10,3
341,3.9,1429.0,18.4,1251.0,249.0,734.0,146.0,1754.0,1548.0,18.3,26.6,0.5529,11,3
342,3.7,1419.0,18.9,1267.0,219.0,742.0,138.0,1763.0,1490.0,20.8,22.5,0.5463,12,3
343,3.4,1373.0,17.1,1213.0,200.0,791.0,128.0,1711.0,1354.0,22.4,20.0,0.5352,13,3
344,2.2,1185.0,10.4,992.0,138.0,942.0,97.0,1448.0,1014.0,20.9,21.7,0.5295,14,3
345,1.9,1122.0,8.0,897.0,118.0,991.0,91.0,1372.0,831.0,19.1,26.5,0.579,15,3
346,1.6,1085.0,6.2,820.0,99.0,1060.0,81.0,1325.0,699.0,18.1,30.6,0.6295,16,3
347,2.1,1249.0,9.7,968.0,112.0,874.0,99.0,1527.0,926.0,17.3,34.7,0.6788,17,3
348,2.2,1236.0,9.6,962.0,117.0,853.0,101.0,1532.0,928.0,15.8,40.4,0.7228,18,3
349,2.7,1334.0,11.9,1047.0,129.0,815.0,106.0,1638.0,1038.0,15.9,42.0,0.7541,19,3
350,2.4,1264.0,8.7,928.0,132.0,884.0,102.0,1534.0,1035.0,15.9,43.5,0.779,20,3
351,1.3,1073.0,4.7,746.0,73.0,1072.0,84.0,1360.0,789.0,15.0,46.1,0.7833,21,3
352,1.2,1053.0,3.8,701.0,68.0,1147.0,81.0,1323.0,692.0,15.1,44.6,0.7574,22,3
353,1.5,1098.0,4.7,747.0,80.0,1094.0,91.0,1360.0,764.0,14.9,43.5,0.7302,23,3
354,1.3,1029.0,3.8,702.0,68.0,1180.0,82.0,1287.0,639.0,14.8,41.0,0.685,0,3
355,1.0,973.0,2.7,631.0,44.0,1287.0,64.0,1240.0,541.0,14.8,40.8,0.6814,1,3
356,0.9,972.0,2.8,639.0,47.0,1222.0,70.0,1256.0,678.0,14.8,40.8,0.6834,2,3
357,0.5,851.0,0.8,477.0,15.0,1699.0,26.0,1064.0,343.0,14.5,36.1,0.5928,4,3
358,0.6,909.0,1.5,545.0,44.0,1473.0,58.0,1131.0,436.0,14.6,36.0,0.5947,5,3
359,1.0,1038.0,3.5,684.0,85.0,1220.0,93.0,1279.0,688.0,14.4,38.5,0.6291,6,3
360,3.1,1636.0,15.6,1168.0,207.0,721.0,110.0,1926.0,1438.0,13.8,58.2,0.9129,7,3
361,4.1,1580.0,19.9,1295.0,230.0,639.0,115.0,1957.0,1489.0,13.2,61.1,0.9256,8,3
362,2.2,1262.0,8.6,924.0,181.0,872.0,125.0,1576.0,1093.0,10.4,74.4,0.9384,9,3
363,1.7,1197.0,6.5,837.0,144.0,957.0,118.0,1498.0,965.0,11.5,71.0,0.9582,10,3
364,1.9,1277.0,7.7,886.0,140.0,902.0,109.0,1579.0,1004.0,12.2,70.0,0.9924,11,3
365,2.9,1430.0,11.3,1025.0,204.0,779.0,123.0,1772.0,1166.0,12.3,73.3,1.0442,12,3
366,2.2,1242.0,9.1,944.0,149.0,846.0,114.0,1638.0,991.0,11.3,78.1,1.0411,13,3
367,2.6,1349.0,11.2,1023.0,171.0,804.0,114.0,1748.0,1054.0,13.6,69.2,1.0746,14,3
368,3.1,1390.0,13.5,1100.0,195.0,755.0,119.0,1799.0,1192.0,14.9,59.3,0.9974,15,3
369,2.3,1224.0,10.1,980.0,152.0,850.0,111.0,1637.0,1055.0,15.7,50.9,0.8997,16,3
370,2.4,1253.0,11.3,1026.0,128.0,810.0,103.0,1681.0,1048.0,15.2,52.9,0.9087,17,3
371,2.8,1312.0,11.8,1041.0,121.0,821.0,103.0,1712.0,1073.0,15.5,50.8,0.8881,18,3
372,2.7,1254.0,11.5,1033.0,142.0,819.0,107.0,1669.0,1068.0,14.3,52.9,0.8581,19,3
373,2.3,1198.0,9.3,953.0,131.0,882.0,105.0,1588.0,1019.0,13.2,56.0,0.8446,20,3
374,1.5,1060.0,5.5,787.0,81.0,1044.0,91.0,1418.0,833.0,12.6,57.0,0.8315,21,3
375,1.4,1050.0,5.1,769.0,60.0,1078.0,79.0,1409.0,759.0,12.3,57.8,0.8224,22,3
376,1.2,1029.0,4.8,754.0,57.0,1098.0,79.0,1395.0,749.0,12.0,58.4,0.8164,23,3
377,1.6,1143.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593,0,4
378,1.2,1044.0,5.1,770.0,85.0,1031.0,70.0,1425.0,944.0,11.5,63.9,0.8652,1,4
379,1.1,1034.0,4.1,716.0,50.0,1085.0,55.0,1405.0,891.0,10.7,67.2,0.863,2,4
380,0.7,909.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299,4,4
381,0.9,996.0,2.9,648.0,64.0,1176.0,50.0,1340.0,852.0,11.0,63.7,0.8325,5,4
382,1.7,1154.0,7.4,876.0,153.0,1002.0,67.0,1561.0,987.0,9.6,68.8,0.8243,6,4
383,4.2,1510.0,19.8,1291.0,342.0,675.0,94.0,1949.0,1435.0,9.5,69.6,0.8273,7,4
384,6.2,1722.0,31.9,1595.0,378.0,539.0,119.0,2439.0,1798.0,11.9,60.9,0.8455,8,4
385,4.6,1512.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1677.0,16.2,48.6,0.8892,9,4
386,2.8,1258.0,11.7,1040.0,192.0,800.0,113.0,1701.0,1282.0,19.2,39.6,0.8693,10,4
387,1.6,1094.0,6.8,850.0,130.0,970.0,88.0,1489.0,871.0,19.7,38.4,0.8743,11,4
388,1.7,1129.0,7.4,875.0,106.0,974.0,73.0,1524.0,759.0,20.6,36.7,0.8797,12,4
389,1.7,1125.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771,13,4
390,3.3,1308.0,16.4,1193.0,163.0,793.0,106.0,1193.0,1187.0,23.6,27.5,0.7913,17,4
391,4.2,1529.0,21.2,1331.0,211.0,700.0,132.0,2028.0,1399.0,22.8,32.1,0.8814,18,4
392,5.5,1592.0,25.0,1429.0,267.0,624.0,164.0,2089.0,1644.0,20.8,36.7,0.8878,19,4
393,4.9,1536.0,20.2,1302.0,269.0,666.0,161.0,1922.0,1599.0,18.3,40.9,0.8493,20,4
394,2.5,1192.0,10.8,1007.0,154.0,827.0,124.0,1604.0,1223.0,16.8,44.0,0.8341,21,4
395,2.0,1186.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569,22,4
396,2.0,1203.0,8.5,920.0,122.0,898.0,103.0,1529.0,1118.0,14.9,52.0,0.8757,23,4
397,2.0,1139.0,8.0,899.0,126.0,921.0,104.0,1514.0,1067.0,14.1,54.4,0.8701,0,4
398,1.3,1072.0,5.6,795.0,84.0,986.0,93.0,1442.0,1048.0,13.3,58.8,0.8922,1,4
399,1.0,954.0,3.2,667.0,58.0,1180.0,60.0,1350.0,718.0,13.3,60.9,0.9229,2,4
400,0.7,968.0,2.6,628.0,56.0,1197.0,66.0,1372.0,737.0,11.3,72.9,0.9738,5,4
401,1.1,1067.0,4.3,727.0,91.0,1055.0,82.0,1448.0,903.0,11.4,71.8,0.9671,6,4
402,2.6,1386.0,13.0,1083.0,159.0,798.0,109.0,1833.0,1159.0,11.9,73.7,1.0254,7,4
403,3.9,1474.0,20.3,1306.0,190.0,634.0,114.0,2060.0,1365.0,12.6,70.2,1.0221,8,4
404,5.0,1569.0,20.7,1316.0,249.0,634.0,139.0,2054.0,1510.0,13.6,65.3,1.0136,9,4
405,3.3,1375.0,15.9,1177.0,196.0,706.0,127.0,1898.0,1386.0,16.9,52.3,1.0013,10,4
406,2.9,1328.0,14.2,1123.0,180.0,738.0,127.0,1821.0,1368.0,19.4,44.1,0.9855,11,4
407,3.1,1341.0,15.9,1176.0,167.0,748.0,135.0,1825.0,1347.0,22.9,33.8,0.9322,12,4
408,3.0,1297.0,16.1,1183.0,159.0,765.0,130.0,1773.0,1242.0,23.6,31.3,0.9001,13,4
409,2.7,1303.0,14.7,1139.0,152.0,790.0,126.0,1761.0,1138.0,24.7,30.5,0.9371,14,4
410,2.7,1281.0,14.0,1116.0,149.0,809.0,121.0,1703.0,1080.0,26.1,27.3,0.9101,15,4
411,2.6,1248.0,13.6,1103.0,143.0,872.0,122.0,1632.0,1002.0,27.6,22.8,0.8288,16,4
412,3.7,1382.0,19.7,1288.0,185.0,778.0,138.0,1799.0,1212.0,26.9,22.3,0.7792,17,4
413,4.5,1491.0,23.3,1385.0,223.0,685.0,165.0,1915.0,1486.0,24.3,30.1,0.9012,18,4
414,4.7,1620.0,24.1,1407.0,215.0,641.0,154.0,2052.0,1567.0,21.2,40.1,0.9978,19,4
415,5.5,1693.0,25.4,1439.0,271.0,618.0,168.0,2083.0,1723.0,19.4,42.5,0.9483,20,4
416,3.0,1374.0,14.1,1121.0,180.0,771.0,146.0,1685.0,1399.0,18.5,43.0,0.9074,21,4
417,1.9,1287.0,10.1,982.0,115.0,841.0,124.0,1582.0,1291.0,17.8,47.0,0.9467,22,4
418,2.3,1408.0,12.1,1052.0,149.0,761.0,124.0,1684.0,1443.0,16.8,53.2,1.01,23,4
419,1.6,1254.0,9.0,941.0,98.0,828.0,106.0,1566.0,1270.0,17.1,51.8,0.999,0,4
420,1.3,1141.0,6.3,827.0,73.0,936.0,88.0,1488.0,1110.0,16.2,54.2,0.9933,1,4
421,1.2,1141.0,5.3,777.0,69.0,986.0,83.0,1455.0,1060.0,15.1,58.2,0.9886,2,4
422,0.8,986.0,3.0,651.0,60.0,1145.0,74.0,1380.0,891.0,14.5,58.0,0.9488,4,4
423,0.8,1005.0,3.3,673.0,56.0,1103.0,64.0,1387.0,905.0,13.7,61.6,0.9631,5,4
424,0.9,1041.0,3.5,683.0,73.0,1112.0,69.0,1398.0,899.0,13.9,59.6,0.9408,6,4
425,2.0,1272.0,9.5,959.0,159.0,846.0,91.0,1660.0,1136.0,13.3,61.7,0.9399,7,4
426,3.0,1436.0,15.2,1154.0,203.0,704.0,96.0,1872.0,1391.0,15.1,55.8,0.9486,8,4
427,3.1,1472.0,14.3,1126.0,211.0,720.0,106.0,1816.0,1460.0,17.0,50.5,0.9684,9,4
428,3.1,1461.0,14.3,1127.0,236.0,703.0,124.0,1836.0,1451.0,15.6,57.4,1.0075,10,4
429,3.0,1430.0,13.7,1107.0,228.0,713.0,121.0,1853.0,1409.0,16.6,55.2,1.0382,11,4
430,3.2,1498.0,15.7,1171.0,206.0,684.0,114.0,1942.0,1434.0,17.0,54.3,1.0434,12,4
431,3.1,1454.0,15.4,1162.0,188.0,682.0,114.0,1915.0,1457.0,18.0,51.5,1.0552,13,4
432,2.5,1402.0,12.6,1069.0,158.0,733.0,106.0,1793.0,1325.0,19.5,47.5,1.0653,14,4
433,2.1,1327.0,9.8,971.0,124.0,803.0,89.0,1705.0,1120.0,21.6,41.7,1.0606,15,4
434,2.0,1273.0,9.6,963.0,98.0,832.0,82.0,1662.0,931.0,22.2,38.3,1.0106,16,4
435,3.2,1457.0,16.3,1190.0,160.0,678.0,111.0,1877.0,1212.0,20.3,42.8,1.0053,17,4
436,4.1,1543.0,19.8,1290.0,194.0,631.0,132.0,2011.0,1353.0,19.7,45.4,1.0312,18,4
437,3.9,1499.0,18.0,1239.0,174.0,651.0,121.0,1957.0,1359.0,18.8,47.5,1.0199,19,4
438,3.1,1378.0,13.6,1102.0,157.0,742.0,116.0,1796.0,1273.0,17.9,49.4,1.0064,20,4
439,2.0,1243.0,8.7,928.0,109.0,852.0,100.0,1622.0,1079.0,17.5,50.9,1.009,21,4
440,1.7,1196.0,7.7,885.0,85.0,884.0,89.0,1589.0,973.0,17.4,51.8,1.023,22,4
441,1.6,1137.0,7.3,869.0,90.0,890.0,92.0,1554.0,951.0,17.0,53.9,1.0363,23,4
442,1.0,1015.0,4.1,718.0,61.0,1065.0,71.0,1428.0,714.0,16.6,55.4,1.0408,0,4
443,0.8,978.0,2.7,635.0,36.0,1188.0,51.0,1382.0,579.0,15.9,57.0,1.0224,1,4
444,0.5,933.0,1.5,547.0,25.0,1357.0,39.0,1336.0,542.0,15.0,59.2,1.0059,2,4
445,0.5,908.0,1.8,569.0,24.0,1303.0,35.0,1360.0,526.0,14.1,61.6,0.9883,4,4
446,0.8,980.0,3.4,677.0,73.0,1141.0,64.0,1435.0,659.0,14.6,58.8,0.9711,5,4
447,1.7,1236.0,8.5,920.0,164.0,880.0,94.0,1641.0,1012.0,14.4,58.9,0.9594,6,4
448,4.5,1664.0,24.1,1407.0,329.0,594.0,134.0,2198.0,1564.0,15.3,55.2,0.9538,7,4
449,6.2,1757.0,33.7,1636.0,302.0,494.0,129.0,2560.0,1806.0,16.2,52.5,0.9576,8,4
450,4.4,1524.0,22.0,1350.0,256.0,588.0,125.0,2096.0,1604.0,18.4,46.3,0.9734,9,4
451,2.9,1329.0,14.1,1119.0,182.0,707.0,107.0,1823.0,1288.0,19.6,41.8,0.9407,10,4
452,1.6,1167.0,7.6,884.0,105.0,881.0,78.0,1580.0,931.0,20.2,40.1,0.937,11,4
453,2.6,1369.0,14.5,1132.0,136.0,715.0,91.0,1818.0,1162.0,20.9,36.6,0.8939,12,4
454,2.9,1284.0,13.6,1103.0,167.0,755.0,116.0,1704.0,1064.0,20.4,34.7,0.8229,13,4
455,2.5,1221.0,11.5,1032.0,166.0,811.0,131.0,1630.0,913.0,19.3,35.4,0.7813,14,4
456,1.9,1096.0,9.2,947.0,115.0,872.0,113.0,1519.0,684.0,18.6,36.9,0.7829,15,4
457,1.9,1143.0,10.3,988.0,109.0,849.0,98.0,1590.0,710.0,18.8,36.8,0.7883,16,4
458,2.7,1251.0,14.0,1116.0,143.0,760.0,116.0,1716.0,923.0,17.5,40.6,0.8068,17,4
459,3.0,1268.0,15.0,1148.0,159.0,728.0,120.0,1776.0,1006.0,16.8,44.3,0.8428,18,4
460,3.3,1314.0,15.1,1150.0,181.0,726.0,126.0,1784.0,1083.0,16.3,47.7,0.8746,19,4
461,3.2,1315.0,14.8,1142.0,178.0,724.0,126.0,1807.0,1161.0,15.6,50.7,0.8947,20,4
462,1.8,1095.0,8.5,918.0,91.0,896.0,90.0,1527.0,800.0,15.7,49.4,0.8768,21,4
463,1.3,1027.0,5.9,808.0,76.0,996.0,81.0,1458.0,647.0,15.8,48.6,0.8653,22,4
464,1.1,1012.0,4.8,752.0,66.0,1053.0,74.0,1393.0,649.0,15.7,47.0,0.8325,23,4
465,0.9,948.0,4.0,710.0,56.0,1127.0,67.0,1352.0,575.0,15.7,45.9,0.8121,0,4
466,0.7,889.0,2.3,603.0,35.0,1308.0,46.0,1271.0,455.0,15.6,44.9,0.792,1,4
467,0.4,830.0,1.4,538.0,21.0,1475.0,30.0,1214.0,392.0,15.6,44.4,0.7827,2,4
468,0.3,804.0,0.7,468.0,12.0,1826.0,19.0,1166.0,320.0,15.7,45.4,0.8063,4,4
469,0.3,824.0,0.8,478.0,22.0,1705.0,32.0,1200.0,331.0,15.3,50.1,0.8617,5,4
470,0.8,1000.0,3.6,688.0,55.0,1257.0,61.0,1398.0,426.0,14.2,58.6,0.9443,6,4
471,2.8,1307.0,12.9,1082.0,152.0,777.0,111.0,1769.0,830.0,14.3,58.2,0.9431,7,4
472,3.1,1286.0,15.7,1171.0,153.0,716.0,102.0,1821.0,1006.0,15.0,52.0,0.8817,8,4
473,2.3,1150.0,8.6,925.0,152.0,865.0,116.0,1576.0,820.0,13.6,61.4,0.9519,9,4
474,1.6,1087.0,7.4,876.0,112.0,911.0,96.0,1554.0,737.0,16.1,53.1,0.9675,10,4
475,1.5,1016.0,6.6,839.0,119.0,991.0,97.0,1448.0,790.0,16.6,44.3,0.8294,11,4
